Scope,Class
 COR - WB4S - CP Measurement described as STARBOARD WING BALLAST 4S located at PAZ/FPSOH/HSG/STRUC/HU-T_-8612D,Corrosion Monitoring
 COR - WB6S - CP Measurement described as STARBOARD WING BALLAST 6S located at PAZ/FPSOH/HSG/STRUC/HU-T_-8612F,Corrosion Monitoring
 COR - WB7S - CP Measurement described as STARBOARD WING BALLAST 7S located at PAZ/FPSOH/HSG/STRUC/HU-T_-8612G,Corrosion Monitoring
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/LOAD /IPN-_HL-TO25-04-D03P,Piping
 Major Intrusive Inspection FO 90013 described as PORTSIDE SLOPTANK FLAME ARRESTOR located at PAZ/FPSOH/OIL/DRAIN/TO-FA-90013,Flame Arrestor
 VIE described as MAIN TGB FUEL GAS SEPARATOR located at PAZ/FPSOT/ELE/PWG  /TO-VZ-6040B,Pressure Vessel (VIE)
 VIE described as Cooling water piping group located at PAZ/FPSOT/COF/COOLW/IPN-_CW-TO76-01-B01,Piping
 06 MONTHLY INSPECTION CAMPAIGN described as Lifting equipment located at PAZ/FPSOH/COF/LIFT,Campaign
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPN-_HG-TO31-14-H21,Piping
 Visual inspection of complete structure described as P4 Structural Module located at PAZ/FPSOT/HSG/STRUC/P4,Structure
 Visual inspection of complete structure described as P5 Structural Module located at PAZ/FPSOT/HSG/STRUC/P5,Structure
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/SEP  /IPN-_HL-TO20-03-D03,Piping
 VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/TRANS/IPN-_HC-TO23-11-J03,Piping
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOH/OIL/DRAIN/IPN-_HG-HU28-01-B03,Piping
 VIE described as Closed drain piping group located at PAZ/FPSOT/OIL/DRAIN/IPN-_CD-TO28-19-H21,Piping
 VIE described as CIP/EFM FILTER FILTER UNIT located at PAZ/FPSOT/WAT/WFLT /TO-VF-5120C,Pressure Vessel (VIE)
 VIE described as Hydrate inhibitor piping group located at PAZ/FPSOH/COF/CHEM /IPN-_HI-HU75-01-_03,Piping
